place_id,city,n_obs,last_year,last_population,best_model,mae_ets,rmse_ets,2025_ets,2026_ets,2027_ets,2028_ets,2029_ets,mae_arima,rmse_arima,2025_arima,2026_arima,2027_arima,2028_arima,2029_arima,2025_forecast,2025_lower,2025_upper,2026_forecast,2026_lower,2026_upper,2027_forecast,2027_lower,2027_upper,2028_forecast,2028_lower,2028_upper,2029_forecast,2029_lower,2029_upper,pct_change_5y
3714100,"Concord city, North Carolina",16,2024,112398,ets,9854,9918,112972,115457,117930,120391,122839,19072,19095,114999,117601,120202,122803,125405,112972,106716,119377,115457,109197,121552,117930,111590,124272,120391,114144,126684,122839,116428,129024,9.29
4874144,"Tyler city, Texas",19,2024,112204,ets,1645,1817,112219,113111,113978,114819,115635,4324,4772,112202,112204,112202,112204,112202,112219,108483,116044,113111,109373,116751,113978,110191,117765,114819,111088,118577,115635,111806,119329,3.06
1772000,"Springfield city, Illinois",19,2024,112170,arima,4641,4723,112233,112260,112282,112301,112318,2634,2680,112140,112164,112145,112160,112148,112140,110497,113783,112164,109894,114433,112145,109353,114937,112160,108952,115367,112148,108556,115740,-0.02
1216475,"Davie town, Florida",19,2024,112040,ets,4207,5442,110023,111004,111980,112951,113917,5176,5970,111724,111856,111801,111824,111814,110023,103038,117173,111004,104014,117808,111980,104901,119060,112951,105977,119976,113917,106760,120822,1.68
3268400,"Sparks city, Nevada",19,2024,111523,ets,3788,4249,114039,115794,117541,119278,121007,10230,10424,113436,115348,117261,119173,121085,114039,110548,117613,115794,112301,119195,117541,114003,121079,119278,115793,122790,121007,117430,124458,8.5
4131250,"Gresham city, Oregon",19,2024,111500,arima,4057,4687,112178,112287,112381,112460,112528,2703,3262,111828,112126,112395,112640,112862,111828,107405,116251,112126,105793,118458,112395,104550,120241,112640,103483,121797,112862,102522,123202,1.22
0669196,"Santa Maria city, California",19,2024,111347,arima,5324,5913,112508,113141,113727,114270,114774,4110,4170,111278,111288,111287,111287,111287,111278,105412,117144,111288,103198,119379,111287,101437,121136,111287,99952,122622,111287,98639,123935,-0.05
0862000,"Pueblo city, Colorado",19,2024,111156,ets,1389,1581,112179,112320,112445,112557,112657,2108,2717,111255,111179,111237,111192,111227,112179,110030,114379,112320,110169,114413,112445,110268,114624,112557,110412,114719,112657,110455,114781,1.35
4134100,"Hillsboro city, Oregon",19,2024,110340,ets,4813,5663,111975,112975,113949,114897,115819,5699,7051,111014,110618,110850,110714,110794,111975,106945,117124,112975,107943,117875,113949,108852,119048,114897,109875,119956,115819,110665,120791,4.97
4870808,"Sugar Land city, Texas",19,2024,109853,ets,14540,16693,114892,117179,119454,121718,123971,19787,22363,109908,109895,109898,109898,109898,114892,101741,128355,117179,104020,129990,119454,106127,132784,121718,108588,134946,123971,110495,136971,12.85
0665042,"San Buenaventura (Ventura) city, California",19,2024,109815,arima,1690,1853,110255,110304,110345,110380,110410,1485,2358,109827,109835,109840,109844,109846,109827,106425,113228,109835,104947,114723,109840,103778,115902,109844,102774,116914,109846,101879,117814,0.03
0619766,"Downey city, California",19,2024,109365,arima,3576,3948,109929,109931,109932,109934,109935,2915,3047,109562,109407,109529,109433,109509,109562,107252,111873,109407,105986,112828,109529,105375,113683,109433,104592,114275,109509,104112,114905,0.13
0616532,"Costa Mesa city, California",19,2024,109140,arima,5303,5553,111978,111994,112007,112018,112026,3035,3525,108914,109102,108946,109076,108968,108914,103904,113924,109102,102224,115980,108946,100466,117425,109076,99354,118797,108968,98070,119865,-0.16
0812815,"Centennial city, Colorado",19,2024,108860,arima,5960,6083,108813,109012,109201,109381,109551,3479,3589,108843,108841,108840,108840,108840,108843,105994,111692,108841,104828,112853,108840,103935,113746,108840,103181,114500,108840,102516,115164,-0.02
4822660,"Edinburg city, Texas",18,2024,108746,ets,7799,8012,110986,113301,115604,117896,120176,8600,10225,111061,113377,115692,118008,120323,110986,106537,115540,113301,107691,118561,115604,109151,121751,117896,110632,124892,120176,112124,127638,10.51
5367167,"Spokane Valley city, Washington",19,2024,108287,ets,5995,6562,111724,113552,115370,117180,118980,9863,9918,109406,110526,111645,112764,113883,111724,108253,115277,113552,109052,117841,115370,109319,121326,117180,108916,125073,118980,108277,129234,9.87
